#cell_viability_marker : marker used to detect cell viability in flow cytometery,,,,,,,,,,,
#MOI : (viral_integration/cell) multiplicity of infection of lentivirus transfected into donor T-cells to create CART effectors,,,,,,,,,,,
#standard_cell_concentration : (cells/mL) concentration of cells from serially-diluted non-transduced donor cells counted with Vi-CELL,,,,,,,,,,,
#id_effector : CAR pCDL plasmid id expressed by effector cells,,,,,,,,,,,
plate_id,well_num,well_id,well_id_0,row,column,isEmpty,replicate_id,cell_viability_marker,MOI,standard_cell_concentration,id_effector
2020122 MOI=1 cell count,1,A1,A01,A,1,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6194
2020122 MOI=1 cell count,2,A2,A02,A,2,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6195
2020122 MOI=1 cell count,3,A3,A03,A,3,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6196
2020122 MOI=1 cell count,4,A4,A04,A,4,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6197
2020122 MOI=1 cell count,5,A5,A05,A,5,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6198
2020122 MOI=1 cell count,6,A6,A06,A,6,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6199
2020122 MOI=1 cell count,7,A7,A07,A,7,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6200
2020122 MOI=1 cell count,8,A8,A08,A,8,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6201
2020122 MOI=1 cell count,9,A9,A09,A,9,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6202
2020122 MOI=1 cell count,10,A10,A10,A,10,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6203
2020122 MOI=1 cell count,11,A11,A11,A,11,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,4000000,NTD
2020122 MOI=1 cell count,12,A12,A12,A,12,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,4000000,NTD
2020122 MOI=1 cell count,13,B1,B01,B,1,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6204
2020122 MOI=1 cell count,14,B2,B02,B,2,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6205
2020122 MOI=1 cell count,15,B3,B03,B,3,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6206
2020122 MOI=1 cell count,16,B4,B04,B,4,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6207
2020122 MOI=1 cell count,17,B5,B05,B,5,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6169
2020122 MOI=1 cell count,18,B6,B06,B,6,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6170
2020122 MOI=1 cell count,19,B7,B07,B,7,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6171
2020122 MOI=1 cell count,20,B8,B08,B,8,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6172
2020122 MOI=1 cell count,21,B9,B09,B,9,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6173
2020122 MOI=1 cell count,22,B10,B10,B,10,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6174
2020122 MOI=1 cell count,23,B11,B11,B,11,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,2000000,NTD
2020122 MOI=1 cell count,24,B12,B12,B,12,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,2000000,NTD
2020122 MOI=1 cell count,25,C1,C01,C,1,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6175
2020122 MOI=1 cell count,26,C2,C02,C,2,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6176
2020122 MOI=1 cell count,27,C3,C03,C,3,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6177
2020122 MOI=1 cell count,28,C4,C04,C,4,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6178
2020122 MOI=1 cell count,29,C5,C05,C,5,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6179
2020122 MOI=1 cell count,30,C6,C06,C,6,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6180
2020122 MOI=1 cell count,31,C7,C07,C,7,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6181
2020122 MOI=1 cell count,32,C8,C08,C,8,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6182
2020122 MOI=1 cell count,33,C9,C09,C,9,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6183
2020122 MOI=1 cell count,34,C10,C10,C,10,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6184
2020122 MOI=1 cell count,35,C11,C11,C,11,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,1000000,NTD
2020122 MOI=1 cell count,36,C12,C12,C,12,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,1000000,NTD
2020122 MOI=1 cell count,37,D1,D01,D,1,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6185
2020122 MOI=1 cell count,38,D2,D02,D,2,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6186
2020122 MOI=1 cell count,39,D3,D03,D,3,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6187
2020122 MOI=1 cell count,40,D4,D04,D,4,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6188
2020122 MOI=1 cell count,41,D5,D05,D,5,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6189
2020122 MOI=1 cell count,42,D6,D06,D,6,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6190
2020122 MOI=1 cell count,43,D7,D07,D,7,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6191
2020122 MOI=1 cell count,44,D8,D08,D,8,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6192
2020122 MOI=1 cell count,45,D9,D09,D,9,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL6193
2020122 MOI=1 cell count,46,D10,D10,D,10,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4489
2020122 MOI=1 cell count,47,D11,D11,D,11,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,500000,NTD
2020122 MOI=1 cell count,48,D12,D12,D,12,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,500000,NTD
2020122 MOI=1 cell count,49,E1,E01,E,1,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4490
2020122 MOI=1 cell count,50,E2,E02,E,2,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4491
2020122 MOI=1 cell count,51,E3,E03,E,3,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4496
2020122 MOI=1 cell count,52,E4,E04,E,4,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4505
2020122 MOI=1 cell count,53,E5,E05,E,5,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4518
2020122 MOI=1 cell count,54,E6,E06,E,6,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4519
2020122 MOI=1 cell count,55,E7,E07,E,7,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4531
2020122 MOI=1 cell count,56,E8,E08,E,8,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4536
2020122 MOI=1 cell count,57,E9,E09,E,9,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4543
2020122 MOI=1 cell count,58,E10,E10,E,10,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4556
2020122 MOI=1 cell count,59,E11,E11,E,11,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,250000,NTD
2020122 MOI=1 cell count,60,E12,E12,E,12,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,250000,NTD
2020122 MOI=1 cell count,61,F1,F01,F,1,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4488
2020122 MOI=1 cell count,62,F2,F02,F,2,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4528
2020122 MOI=1 cell count,63,F3,F03,F,3,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4541
2020122 MOI=1 cell count,64,F4,F04,F,4,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4523
2020122 MOI=1 cell count,65,F5,F05,F,5,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4557
2020122 MOI=1 cell count,66,F6,F06,F,6,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4219
2020122 MOI=1 cell count,67,F7,F07,F,7,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4220
2020122 MOI=1 cell count,68,F8,F08,F,8,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4221
2020122 MOI=1 cell count,69,F9,F09,F,9,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4222
2020122 MOI=1 cell count,70,F10,F10,F,10,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4223
2020122 MOI=1 cell count,71,F11,F11,F,11,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,125000,NTD
2020122 MOI=1 cell count,72,F12,F12,F,12,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,125000,NTD
2020122 MOI=1 cell count,73,G1,G01,G,1,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4224
2020122 MOI=1 cell count,74,G2,G02,G,2,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4225
2020122 MOI=1 cell count,75,G3,G03,G,3,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4226
2020122 MOI=1 cell count,76,G4,G04,G,4,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4227
2020122 MOI=1 cell count,77,G5,G05,G,5,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4228
2020122 MOI=1 cell count,78,G6,G06,G,6,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4229
2020122 MOI=1 cell count,79,G7,G07,G,7,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4230
2020122 MOI=1 cell count,80,G8,G08,G,8,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4231
2020122 MOI=1 cell count,81,G9,G09,G,9,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4232
2020122 MOI=1 cell count,82,G10,G10,G,10,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4233
2020122 MOI=1 cell count,83,G11,G11,G,11,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,62500,NTD
2020122 MOI=1 cell count,84,G12,G12,G,12,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,62500,NTD
2020122 MOI=1 cell count,85,H1,H01,H,1,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4234
2020122 MOI=1 cell count,86,H2,H02,H,2,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4235
2020122 MOI=1 cell count,87,H3,H03,H,3,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,Leu16
2020122 MOI=1 cell count,88,H4,H04,H,4,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4656
2020122 MOI=1 cell count,89,H5,H05,H,5,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL5324
2020122 MOI=1 cell count,90,H6,H06,H,6,FALSE,replicateid_xhNuTlPjM,FSC/SSC,1,,pCDL4018
2020122 MOI=1 cell count,91,H7,H07,H,7,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,,NTD
2020122 MOI=1 cell count,92,H8,H08,H,8,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,,NTD
2020122 MOI=1 cell count,93,H9,H09,H,9,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,,NTD
2020122 MOI=1 cell count,94,H10,H10,H,10,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,,NTD
2020122 MOI=1 cell count,95,H11,H11,H,11,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,0,NTD
2020122 MOI=1 cell count,96,H12,H12,H,12,FALSE,replicateid_xhNuTlPjM,FSC/SSC,0,0,NTD